Year;Month;Day;PM25max;O3max;NO2max;Death;Tmean;Tmax;RH;OXmax
2000;2;20;21.75;41.42857143;51.92307692;41;-9.4;-1.349218356026223;44.76080437;30.1439514380691
2000;2;21;25;30.85714286;55.15384615;37;-8.79;-2.1326273323247604;52.36975225;27.9728284434167
2000;2;22;31.5;26.14285714;67.84615385;29;-3.73;2.916540595057993;53.9576848;28.743604567134
2000;2;23;32.25;16.71428571;54.53846154;40;2.06;6.2126828038325765;71.56238521;20.5534036710507
2000;2;24;53.75;9.571428571;75;34;3.1;5.8192133131618755;81.06342675;27.4960254372019
2000;2;25;19.5;32.92857143;44.07692308;48;0.3;2.095436207766011;87.28768401;24.089897384015
2000;2;26;11.5;37.07142857;29.92307692;28;2.66;6.561775088250126;73.17894746;26.1214048272872
2000;2;27;24;36.57142857;39.30769231;40;6.15;10.379475542107917;71.83366944;25.9978320566556
2000;2;28;4.75;28.21428571;22.92307692;35;4.16;6.710539586485123;81.87823621;22.3643590114178
2000;2;29;19.75;31.71428571;43.84615385;36;0.48;4.003782148260211;75.21333242;NA
2000;3;1;24;21.71428571;42.23076923;38;0.21;4.47970247100353;70.06292813;23.0504408151467
2000;3;2;6;23;28.30769231;46;2.21;3.9605395864851234;86.98021719;19.4413932649227
2000;3;3;9.5;29.5;30.61538462;33;-0.58;1.6267019667170952;84.36762016;16.2734499205087
2000;3;4;10.25;35;27.38461538;43;-0.74;3.152294503277862;72.62796409;21.9651683769331
2000;3;5;9.25;32.85714286;28.92307692;34;2.69;5.977937468482097;77.34463687;25.5075878017055
2000;3;6;11.25;35.21428571;40.84615385;35;0.77;5.147755925365607;69.36740867;23.2105795635207
2000;3;7;33.25;21;46.53846154;39;2.41;6.022945032778618;74.88837604;25.6519728284434
2000;3;8;27.25;19.21428571;49.84615385;42;3.53;8.322365103378718;67.79849218;17.5465465465465
2000;3;9;40.5;34.5;56.41666667;37;7.36;15.881870902672718;47.62238843;20.1631160572337
2000;3;10;8.25;34.57142857;20.83333333;45;-7.27;-3.536434694906707;72.47932446;27.2251192368839
2000;3;11;15.25;28.21428571;24.58333333;31;-3.48;-1.213187090267272;83.61731773;23.3944356120827
2000;3;12;9.75;30.78571429;36.75;38;-1.47;1.6588502269288956;77.88730515;20.7966613672496
2000;3;13;20;35.14285714;48.07692308;42;-7.69;-2.8875441250630356;65.73814261;22.1286168521463
2000;3;14;26.75;25.42857143;60.92307692;40;-3.87;4.157841654059506;46.4727704;25.5499349616997
2000;3;15;17;28.85714286;45.76923077;44;2.26;4.690620272314675;82.96068635;26.0608469431999
2000;3;16;20;37.14285714;42.07692308;33;0.23;2.974659606656581;80.91516446;20.2361612949848
2000;3;17;6;35.5;17.23076923;42;-5.57;-2.761598587997983;78.63434951;26.7934672640555
2000;3;18;13;32.85714286;23.30769231;37;-7.81;-2.342284417549168;59.94075257;24.2722936840584
2000;3;19;19.25;43;39.61538462;29;-1.81;5.280005042864347;51.79517338;24.2274895216072
2000;3;20;14;38.07142857;37.61538462;28;2.96;7.902168431669188;66.5833626;29.3172423760659
2000;3;21;15.25;38.57142857;45.15384615;33;3.87;9.97768532526475;59.89176883;28.084983379101
2000;3;22;32.75;39.21428571;55.69230769;37;5.37;12.26865859808371;55.36675677;28.854603266368
2000;3;23;28.75;37.85714286;51.23076923;37;7.79;15.481467473524962;51.60737988;29.9163173869056
2000;3;24;23;38.64285714;50.07692308;24;6.3;13.378593040847202;54.79736159;27.8749819338055
2000;3;25;25.5;28.07142857;41.15384615;27;4.19;9.195410993444277;66.55728946;28.4805607746784
2000;3;26;21.25;31.07142857;32.84615385;41;5.2;9.184568835098336;72.96603387;22.5593293828588
2000;3;27;12.5;38.14285714;33.76923077;28;5.16;11.582829046898638;58.17060941;22.1374476080358
2000;3;28;11.5;39.57142857;42.84615385;33;5.79;7.44856278366112;88.15847367;28.5366382425206
2000;3;29;6.75;33;22.38461538;31;3.91;5.223651033787191;90.1436143;28.9414655297008
2000;3;30;5;24.35714286;26.30769231;34;3.36;5.800176500252143;81.50661717;23.5872235872236
2000;3;31;15;28.61538462;37.23076923;33;3.92;8.499621785173979;69.00749271;17.6615117791588
2000;4;1;19.25;38.71428571;42;25;7.07;13.90015128593041;56.09503947;20.9706605000723
2000;4;2;19;32.78571429;39.69230769;31;7.29;11.580685829551186;71.46709159;27.276051452522
2000;4;3;21.5;28.64285714;44.46153846;34;4.05;9.656454866364095;62.99202186;24.9914727561786
2000;4;4;12;25.92857143;36;33;7.24;9.36434694906707;86.1674469;22.8322011851424
2000;4;5;4.25;28.28571429;15.61538462;28;0.93;2.884770549672214;86.22744891;19.89391530568
2000;4;6;14;31.21428571;38.23076923;42;1.07;4.024331820474029;79.7554995;20.7119525943055
2000;4;7;19.25;33.07142857;36.23076923;36;4.81;8.878466969238527;71.11671466;22.8592282121694
2000;4;8;13.25;28.14285714;26;38;2.46;4.137670196671709;87.63643686;24.0719757190345
2000;4;9;2.25;39.71428571;14.07692308;45;-1.61;0.1625063035804337;86.9096811;20.2443994796936
2000;4;10;13;39.64285714;34.38461538;31;1.46;5.378845184064549;72.6784524;27.7183118947825
2000;4;11;7.75;34.28571429;19.61538462;28;-1.65;0.5347957639939486;83.90606875;27.3799682034976
2000;4;12;5.5;40.57142857;29.84615385;27;0.05;4.125441250630358;70.49619513;24.6847810377222
2000;4;13;15;39.14285714;47.76923077;39;-0.47;5.9856278366111955;55.69644259;28.7671628848099
2000;4;14;19;34.21428571;50.38461538;30;4.05;12.13464447806354;48.49828496;29.0156091920798
2000;4;15;22.5;49.21428571;44.38461538;34;12.85;21.619515885022693;47.97140242;29.3288047405694
2000;4;16;6.75;40.57142857;11.46153846;40;6.59;10.35211800302572;74.98324602;35.2562509033097
2000;4;17;11;35.35714286;23.84615385;31;1;4.578542612203732;74.85079273;27.8382714265067
2000;4;18;11.75;37.14285714;27.41666667;37;5.04;11.302193645990922;59.45400715;25.0409018644313
2000;4;19;16.5;38.71428571;43.58333333;38;7.8;10.997604639435199;78.55520071;26.464546899841
2000;4;20;12;37.38461538;28.15384615;27;9.81;13.976802824004034;72.7736853;27.2987104751811
2000;4;21;8.25;32.07692308;18.76923077;45;5.39;7.671205244578921;84.82538516;27.058346581876
2000;4;22;4.25;30.76923077;12.84615385;45;4.93;6.326021180030257;91.20807561;22.9120826709062
2000;4;23;6;41.53846154;19.69230769;27;5.55;7.74798285426122;85.87843644;21.4934817170111
2000;4;24;11.5;44.23076923;40.07692308;47;8.98;13.521810388300555;70.06756236;28.6809220985692
2000;4;25;8.25;43.92307692;28.61538462;38;5.42;10.483232476046394;65.88769126;28.8034976152623
2000;4;26;11.25;41.30769231;24.23076923;36;5.83;11.119263741805346;64.64897042;30.8531001589825
2000;4;27;10.5;40.53846154;27.84615385;37;5.95;9.663136661623803;75.04683616;28.6748807631161
2000;4;28;16.5;48.84615385;40.07692308;34;10.72;18.077029752899648;54.90963688;29.3263910969793
2000;4;29;16.75;54.61538462;37.38461538;30;11.71;19.817574382249116;51.06181619;35.8344992050874
2000;4;30;6.5;41.38461538;33.38461538;34;7.82;13.274331820474028;64.20123452;40.6777424483307
2000;5;1;14;37.71428571;35.76923077;29;8.29;14.416036308623298;60.69129883;28.0901430842607
2000;5;2;8.75;39.76923077;37.23076923;32;9.2;14.62720625315179;64.86814975;29.4674085850556
2000;5;3;23.5;50.07142857;57.46153846;28;9.66;19.10426122037317;43.75215255;27.5098569157393
2000;5;4;39;69.92857143;46;40;14.36;24.41174987392839;42.26468052;37.142939731175
2000;5;5;24.5;50.85714286;32.38461538;40;18.37;23.503530005042865;68.8747911;51.1978609625668
2000;5;6;18;18.42857143;30.61538462;40;12.88;16.905194150277357;74.96898168;34.2871802283567
2000;5;7;33.5;59.85714286;25.69230769;42;18.47;28.5398386283409;44.44366827;16.1659199306258
2000;5;8;11.5;36.14285714;38.38461538;28;16.14;18.70574886535552;83.81076924;41.6870935106229
2000;5;9;7.25;31.78571429;20.15384615;31;9.43;11.289712556732225;87.86113223;23.3165197282844
2000;5;10;12;29.6;26.41666667;37;9.04;12.13767019667171;79.28481462;21.4730452377511
2000;5;11;7;27.86666667;30.16666667;26;12.48;16.778240040342915;73.03326772;20.4983379101026
2000;5;12;10.33333333;38;34.41666667;32;12.72;19.595562279374686;57.75400566;19.6193091487209
2000;5;13;17.33333333;46.13333333;24;38;15.94;22.40494200706001;61.53134113;28.0802139037433
2000;5;14;5.666666667;34.66666667;12.75;32;12.36;16.105774079677257;76.59976106;32.7529989882931
2000;5;15;10.33333333;39.8;34.66666667;34;10.16;14.648260211800302;70.38323547;25.0239919063449
2000;5;16;10.66666667;41.8;35.5;24;10.68;17.794755421079174;55.81843218;29.4119092354387
2000;5;17;13;46.66666667;42.33333333;36;12.81;20.12695410993444;55.38075731;30.7118080647492
2000;5;18;22.33333333;41.46666667;41.91666667;29;11.32;14.64989914271306;78.77958047;33.4802717155658
2000;5;19;8.333333333;34.66666667;36.53846154;41;6.53;12.166918809884015;62.53689;31.5843329960977
2000;5;20;12.33333333;42.42857143;34.08333333;34;9.41;17.69213313161876;49.13422571;25.5723370429253
2000;5;21;12.33333333;39.5;18.91666667;31;12.39;17.308623298033282;69.33725388;28.0978465096112
2000;5;22;11.33333333;44.28571429;18;34;14.43;19.082829046898638;71.49799007;26.6986558751265
2000;5;23;16.66666667;38.14285714;22.5;34;15.91;19.545133635905195;76.82845497;31.2468564821506
2000;5;24;16.33333333;43.21428571;41;28;16.25;20.650277357539082;72.62028602;28.9312039312039
2000;5;25;8.333333333;34.85714286;38.83333333;29;14.69;18.764120020171458;74.84951495;32.204798381269
2000;5;26;5.666666667;22.5;16.66666667;38;13.44;17.34568835098336;75.86329459;25.1564387917329
2000;5;27;3.333333333;27.85714286;14.54545455;29;12.19;16.631114473020677;71.95236312;16.1782193958665
2000;5;28;5.666666667;26.26666667;11.41666667;32;11.95;16.071230458900654;73.92751958;18.6523052464229
2000;5;29;8;29.53333333;25;31;13.12;19.16212808875441;62.39115057;18.5836103483162
2000;5;30;12.66666667;41.73333333;32.83333333;32;15.93;23.985249621785172;52.9345116;20.7560341089753
2000;5;31;27.66666667;40.8;40.16666667;34;17.15;21.117750882501262;75.50086051;29.5802861685215
2000;6;1;22.33333333;39.86666667;34.33333333;36;18.47;24.57740796772567;63.5864142;31.8836537071831
2000;6;2;15.33333333;19.8;34.53846154;34;16.28;20.958900655572364;71.14065728;30.7128197716433
2000;6;3;8.666666667;32.33333333;21.15384615;36;15.08;21.70663136661624;60.25425531;18.6436142024377
2000;6;4;10.33333333;34.53333333;27;34;10.88;14.649520927887039;75.41678147;21.972972972973
2000;6;5;16;41.93333333;28.84615385;34;11.08;19.90632879475542;47.44953213;23.9368044515103
2000;6;6;12.33333333;32.4;30.91666667;40;12.32;14.302824004034292;87.81728809;30.021101315219
2000;6;7;8.666666667;33.46666667;30.15384615;37;13.94;20.307614725163894;61.04000255;23.50195114901
2000;6;8;22;59;35.81818182;28;13.04;18.73373676248109;64.76552696;24.3553259141494
2000;6;9;22;51.85714286;22.09090909;29;15.57;19.902042360060513;73.2038539;43.4456279809221
2000;6;10;6.666666667;28.6;20.91666667;31;12.05;13.694654563792234;89.96521271;38.9993640699523
2000;6;11;7;35.33333333;15.33333333;28;10.47;14.382375189107414;73.93034035;20.7739268680445
2000;6;12;14.33333333;37.06666667;39.16666667;31;13.48;20.27231467473525;58.22354114;24.3556872380402
